event_name,catagories,event_type,start_date,start_time,end_date,end_time,location,base_price,ticket_price,capacity,registration_type,image_url,short_description,detailed_description
Full Body Bondage,Beginner Rope For Play,TICKETS,12/07/2025,12:00,12/07/2025,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,"This class will cover basic elements for creating complex bindings on the entire body, we will also cover ways to safely support your partner through changes and methods to ‘play through’ common difficulties  when doing improvised floor bondage.

Elements we will cover will include:

How to tie and secure limbs and torso in safe ways
Practices for preventing injury
How to add handles to your partner for easier body manipulation
Building in quick-releases to keep bondage modular
Extending ropes
Convenience and recovery tricks

With these simple tools at your disposal, you will be primed for hours of rope-loving fun in your bed, or at a local rope speakeasy. Prerequisites: No prerequisite
Self Tie Friendly?: Selftie friendly, but not selftie optimized - some portions may need to be altered or skipped.


Insert promo photo (from Ashley Sherwood’s photoshoot –– if you do not have a photo, please choose something adjacent to what you are teaching):"
Full torso hishi harness,Complex Harness,TICKETS,12/07/2025,14:30,12/07/2025,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,,a hip and chest harness in one!,"In this class, we will be showing how to build hishi patterns that couple the hip and chest harnesses into a single aesthetic mesh.  This particular design is known for being extremely supportive and sustainable in many suspension poses. 

Key lessons include:
- Using the overall design to create chest-shaping opportunities
- Building hishi/rhombus patterns that spread the load diagonally.
- Reinforcing a functional ‘stem’ in a suspension harness.
- Building a hip harness extension
- Suspension demonstration (exercise if time permits)

This harness makes a powerful and supportive addition to a suspension arsenal for many body types, or as a decorative wearable rope bodysuit.


Prerequisites: be familiar with munter hitch, single column tie.
Self Tie Friendly?: Friendly but not optimized, elements may need to be altered or skipped."
Tying For Speed,Tips and tricks,TICKETS,12/14/2025,12:00,12/14/2025,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Improvisation for Stage and Scene,Taking to the Stage,TICKETS,12/14/2025,14:30,12/14/2025,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",40,45.2,24,TICKETS,,,
Partials,Exploring Self tying,TICKETS,12/21/2025,12:00,12/21/2025,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Futos and Frictions,Simple Harnesses,TICKETS,12/21/2025,14:30,12/21/2025,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Intro to Suspension Lines,Suspension Lines,TICKETS,01/04/2026,12:00,01/04/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,https://drive.google.com/file/d/1ugmGDySzVKvG4cZK1aI1r37qe0nD2OxG/view?usp=drive_link,connect your partner with the sky!,"In this class, we'll be showing the foundations of suspension lines, including:
- Limb attachments
- Harness Attachments (multiple methods)
- locking off on Bamboo, Rings, and Carabiners
- Above the ring - safety considerations for evaluating a hardpoint
- lockoffs and techniques for special circumstances

This class is intended to provide solid foundations for a variety of play types, and dovetails nicely with the following class on Partial suspensions in play.

Prerequisites: A Chest Harness and a hip harness, single column tie
Self Tie Friendly: Heck yes!"
Intro To Playing In Partials,The Middle Ground,TICKETS,01/04/2026,14:30,01/04/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,https://drive.google.com/file/d/1isNXALblXx7ZoD3l5dwBvFwP5rTK4QsZ/view?usp=drive_link,Partial suspensions for creative binding,"In This class, we'll be extending Suspension line theory into practice with a number of creative exercises and experiments with partial suspensions.
Partial suspensions provide much more room for play and sustained stress poses, without many of the risks created by full suspensions.
students can expect to cover the following topics:
- Multiple Partial suspension positions on the ground
- Sustainability in a pose, how to add or remove challenge quickly
- Body manipulation on the ground
- Using the ground to create stress positions

This is an excellent class for bridging one's knowledge and experience from floorwork to suspension, or for spicing up your floorwork practice.
prerequisites: Single Column Tie, Upper body harness
self-tie friendly: Friendly but not optimized for self tying"
Shoulders,Anatomy Lab,TICKETS,01/11/2026,12:00,01/11/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,,,
Shoulder Experiments,Anatomy Lab,TICKETS,01/11/2026,14:30,01/11/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,,,
Taking to the Air,Exploring Self Tying Air,TICKETS,01/18/2026,12:00,01/18/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,,,
Your First Self Tie,Beginner Self tying,TICKETS,01/18/2026,14:30,01/18/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Body Mechanics in the Air,The Body in Flight,TICKETS,01/25/2026,12:00,01/25/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",40,45.2,24,TICKETS,,Doing more in the air with less,"Suspension provides expanded opportunities for exploring the way bodies move, but it is essential to understand the internal workings of the body in order to sculpt the figure in space. In this workshop we will explore controlling and moving our partners in the air, ultimately working towards a better command of transitions. 
Riggers will gain an understanding of ranges of movement and control, as well as techniques for shaping the body without moving suspension lines. They should have a chest tie they feel confident suspending from, a lower body tie they feel confident suspending from, as well as confidence attaching and running suspension lines. 
Models will gain an understanding of how to safely be moved into end ranges of motion in the air, and how to settle into positions of extreme restraint. They should be comfortable communicating what is happening within their body clearly and precisely."
Uncomfortable Transitions,Mastering Play,TICKETS,01/25/2026,14:30,01/25/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",40,45.2,24,TICKETS,,,
Self Tied Partials,Exploring Self Tying,TICKETS,02/15/2026,12:00,02/15/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,get into the air (yourself) at birdhaus,"Come level up your self tie experience with partial suspension! 

Join us for a fun exploration of movement with the folks at Birdhaus. We will be exploring partial-based ties around the use of hip/waist harnesses and covering safety and simple lock offs for your self tie adventures

Selftiers should have a handle of the basics of self tying and rope handling along with their body's limitations, your own rope and ring is recommended for use in this class.

Prerequisites for self tie: knowledge of single column, upline lockoffs
Recommended: a hip harness"
Self Tied Chest Harness,Simple Harnesses,TICKETS,02/15/2026,14:30,02/15/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
From the Bottom Up,Bottoming,TICKETS,02/22/2026,12:00,02/22/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
The Tasting Menu,Special,TICKETS,02/22/2026,14:30,02/22/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Hip Harnesses,Simple Harnesses,TICKETS,03/01/2026,12:00,03/01/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,https://drive.google.com/file/d/1ROX3MMrBWRCuyiEUfhg3X9nI2t9ZjcS-/view?usp=drive_link,A foundational hip harness for beginners in suspension,"In this class, we will be showing techniques for building hip and/or waist support in suspension. the hip harness we cover will be suitable for the following positions and more:
- Bridge pose
- inversion (upside-down) suspensions
- thigh and hip support in face down or upright poses
- integration with futomomo or chest harnesses

We'll also cover several adjusted versions depending on the partner's preferences and center of gravity, along with suspension attachment and securement methods.

prerequisites: Single column tie
Self tie friendly?: Heck yes!"
Box Tie Bootcamp,Complex Harness,TICKETS,03/01/2026,14:30,03/01/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,https://drive.google.com/file/d/1joq5WHoOi4-gHGYeF-p7a0Vvn5pa0p24/view?usp=drive_link,"Intro to Intermediate – Put me in a box!
4-Hour Intensive","This extended workshop offers an in-depth breakdown of the  boxtie  (also known as a TK), one of the most widely used upper body harnesses in rope bondage. We’ll focus on developing a  mechanical understanding  of the tie: how it functions, how to adapt it for different bodies, and how to make it sustainable for suspension. The version taught in this class blends structural elements from various styles and is compatible with a wide range of techniques and body types. Part 1 : Technical construction of a suspension-ready boxtie Understanding the function of each component Adjustments for common body shapes and limitations Improving sustainability and safety in stress positions Communication and troubleshooting Part 2 : Guided exploration of  partial  and  full suspension  (time permitting) Personalized feedback and refinement of technique Newer riggers will leave with a strong grasp of suspension-capable design. More experienced attendees will gain valuable tips, variations, and one-on-one guidance to improve tie integrity and sustainability. Prerequisites for Riggers:  None Self-Tie Friendly?: NO Prerequisites for Models:  Must be able to place arms behind back at a 90° angle without pain"
Backbends: Ground,Anatomy Lab,TICKETS,03/08/2026,12:00,03/08/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,,Get back(bending) to basics!,"Exploring our partner’s ability to backbend through hogties, kneeling poses and more are one of the classic ways to enjoy positional restriction on the ground. In this 90(ish) minute class, we’ll explore how to create exciting and sustainable positional strain. We’ll discover the different ways to manage safely creating the effect of a curved spine, tackle the ways that these positions can create strain on the ability to breath, and explore options for both intensifying and bringing ease into this demanding and thrilling range of motion. Prerequisites: Riggers: single column tie, basic frictions, basic understanding of bondage safety. Models: tolerance of sustained time in positions that create rounding or arching of the spine, confidence communicating needs in rope. Level: 103: beginner friendly, some basic skills required Self tie friendly? - partially, much of the content is adaptable."
Taking to the Air,Exploring Self Tying,TICKETS,03/15/2026,12:00,03/15/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Futos and Frictions,Simple Harnesses,TICKETS,03/15/2026,14:30,03/15/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Your First Rope Class,Your First Rope Class,TICKETS,03/22/2026,12:00,03/22/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Simple Predicaments,Turn up the Heat,TICKETS,03/22/2026,14:30,03/22/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,,,
Zero to Suspension  Part 1,Simple Harnesses,TICKETS,04/05/2026,12:00,04/05/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Zero to Suspension  Part 2,Suspension Lines,TICKETS,04/05/2026,14:30,04/05/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,,,
Self Tied Partials,Exploring Self Tying,TICKETS,04/19/2026,12:00,04/19/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,get into the air (yourself) at birdhaus,"Come level up your self tie experience with partial suspension! 

Join us for a fun exploration of movement with the folks at Birdhaus. We will be exploring partial-based ties around the use of hip/waist harnesses and covering safety and simple lock offs for your self tie adventures

Selftiers should have a handle of the basics of self tying and rope handling along with their body's limitations, your own rope and ring is recommended for use in this class.

Prerequisites for self tie: knowledge of single column, upline lockoffs
Recommended: a hip harness"
Your First Self Tie,Beginner Self Tying,TICKETS,04/19/2026,14:30,04/19/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Beginner Body Mechanics,Anatomy Lab,TICKETS,04/26/2026,12:00,04/26/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,,,
Efficient Rope,Tip and Tricks,TICKETS,04/26/2026,14:30,04/26/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Tenshi,Complex Harnesses,TICKETS,05/03/2026,12:00,05/03/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,,,
Tenshi in the Air,The Body In Flight,TICKETS,05/03/2026,14:30,05/03/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",40,45.2,24,TICKETS,,,
Taking to the Air,Exploring Self Tying,TICKETS,05/17/2026,12:00,05/17/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Futos and Frictions,Simple Harnesses,TICKETS,05/17/2026,14:30,05/17/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Connective Rope,Beginner Rope For Play,TICKETS,05/24/2026,12:00,05/24/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,https://drive.google.com/file/d/12rSvdjf9poYGV4QNYbndPasXuG2rDA2F/view?usp=drive_link,,"Looking for a gateway to fall in love with rope? Sick of harness practice and want to do something more playful, experimental, and intimate? Do you have two left thumbs and want to enjoy rope but knots seem endlessly complicated?
This class is for you.
Welcome to Connective rope! In this class we'll learn the foundations of using rope as the central tool for bdsm and sensation play. And we'll learn about using rope to create a conversation with your partner on the floor.
We will slowly add small techniques and show some of their uses
All participants will have a guided experience tying themselves or tying with a partner exploring the power of rope in a low-pressure environment that fosters creativity and simplicity."
Rope for Photography,Tip and Tricks,TICKETS,05/24/2026,14:30,05/24/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,https://drive.google.com/file/d/1xuIElsfYmt7UyLEJh_ws996d97GvsiwX/view?usp=drive_link,Pretty pretty pictures!,"In this class we'll be covering some basics for Photography and Rope, students can expect to cover:
- techniques for 'cleaning up' ties to make rope photos look best
- Framing, lens and lighting considerations 
- guidance for models in photography situations
- live tying and photography exercises/opportunities
- photography review / photography appreciation discussion

Prerequisites: None
to bring: Phone with camera or full-frame camera if possible
Self-tie friendly: Heck yes (but you might want to bring a remote for your camera if possible)"
Rope for Rough Body Play and Sadism,Turn up the Heat,TICKETS,05/31/2026,12:00,05/31/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",35,39.55,24,TICKETS,https://drive.google.com/file/d/1lPFiFkGx_2barntcQQrQ9uK8wOze40iR/view?usp=drive_link,mean tricks for ouchey rope funtime,"This class will discuss many techniques for creating intense sensations for floorwork and partials. Some techniques we will explore include:
Warmups and massage to prevent carpal tunnel and other issues (for riggers)
Pressure points and their locations for body manipulation and sensation
Methods to increase tension and create challenge
Compression ties for leg/foot torture AND calming
Compression ties for diaphram/ribcage attack (breathplay)
Skin torture/abrasion play with rope
Instant-release neckrope techniques for blood chokes
Opportunistic partial suspension.

The class will include ample practice time to explore these techniques.

Learning goals for riggers & models/bottoms:
Introduction to palpation - using sensory information to locate and exploit potential pressure points all over the body, creating intense sensation with minimal effort. also applicable for massage.
Opportunities to negotiate & execute pain-centric play in rope
Introduction to pain processing through breath
Opportunities to negotiate & execute breath and/or blood restriction play

Prerequisites: 
attendees in a rigger position should have working knowledge of the following techniques:
Single column tie
Basic hitches and frictions: X friction, Munter hitch, Half hitch
Suspension lines (for partials)


Attendees in a bottoming/model position should be open to high-intensity sensations and/or pain, and prepared for breath restriction, light blood chokes."
Improvised Suspensions,The Body In Flight,TICKETS,05/31/2026,14:30,05/31/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",40,45.2,24,TICKETS,https://drive.google.com/file/d/1HnicDrpoVxXBn19p-dESsbj4CFAEa1wR/view?usp=drive_link,,"This class explores suspending on improvised harnesses that will be arbitrary in shape. We will begin working from some simple guidelines including safety practices to build safe suspensions and partial suspensions fully on the fly.
Students can expect to cover the following techniques:
‘Rope elevator’ & ‘leg lifting’ techniques for testing improvised harnesses or structures in the air
‘Lift and unclip’ safety lowering techniques
Construction patterns for fully unplanned harnesses (multiple approaches)
Open loop/single column based suspensions.

Students should be aware of nerve damage related risks, and have a single column tie, safe suspension lines.
The class will cover various suspension line techniques which compliment improvised harnesses, as well as ways to enhance and/or change poses once in the air

Pre-requisites: Single column tie, Suspension lines
Self-tie friendly: Friendly, but not optimized"
From The Bottom Up,Bottoming,TICKETS,06/14/2026,12:00,06/14/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
The Tasting Menu,Special,TICKETS,06/14/2026,14:30,06/14/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
Self Tied Partials,Exploring Self tying,TICKETS,06/21/2026,12:00,06/21/2026,14:00,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,get into the air (yourself) at birdhaus,"Come level up your self tie experience with partial suspension! 

Join us for a fun exploration of movement with the folks at Birdhaus. We will be exploring partial-based ties around the use of hip/waist harnesses and covering safety and simple lock offs for your self tie adventures

Selftiers should have a handle of the basics of self tying and rope handling along with their body's limitations, your own rope and ring is recommended for use in this class.

Prerequisites for self tie: knowledge of single column, upline lockoffs
Recommended: a hip harness"
Self Tied Chest Harnesses,Simple Harnesses,TICKETS,06/21/2026,14:30,06/21/2026,16:30,"1233R Queen St W, Toronto, ON M6K 1L5, Canada",30,33.9,24,TICKETS,,,
